"key","chla_day"
1,74.23073919
2,109.311660275
3,28.1398325325
4,8.79548344875
5,4.95833952025
6,59.071696265
7,1.590153422
8,4.21551712
9,2.128613031
10,3.6948720175
11,1.8636399645
12,27.7733041775
13,1.1764819915
14,4.2127449245
15,4.17251527425
16,24.954603465
17,NA
18,5.028597351
19,5.39835468475
20,6.623016699
21,12.5500270733333
22,11.5860133
23,5.82815722225
24,1.610905511
25,3.60363370675
26,0.8735014935
27,1.11934483575
28,3.40394112
29,2.26799461325
30,1.34767556766667
31,3.36395692425
32,1.38023836425
33,6.11468284033333
34,2.64592245
35,6.83230039975
36,0.919581369
37,1.67773485033333
38,18.1096543625
39,0.92303086225
40,2.73540096
41,3.52561057775
42,4.18934664875
43,3.562050773
44,1.60182499575
45,1.00384981325
46,1.616946062
47,0.913312427
48,3.677411911
49,NA
50,3.98830537325
51,2.480004569
52,1.83953064575
53,0.203084326
54,2.43907514625
55,1.730377689
56,4.76426220475
57,2.3857420445
58,30.7462318925
59,1.71348462225
60,0.99509219575
61,3.20525588875
62,2.9301004445
63,2.2010287645
64,4.93540590225
65,2.70496193775
66,2.847604
67,1.16931523525
68,4.432323289
69,2.79779111125
70,2.05476394675
71,3.20325621325
72,0.5118008535
73,5.580366649
74,3.0252056535
75,3.802255218
76,1.707908729
77,3.596960486
78,7.22540219266667
79,4.28583007975
80,NA
81,4.2497442845
82,1.027019698
83,1.3496339555
84,2.5640209955
85,2.37281038225
86,0.876559834333333
87,2.791734809
88,1.555716243
89,3.2018701155
90,1.60721975125
91,3.826606436
92,10.87573362425
93,6.113315619
94,1.51039767125
95,NA
96,1.5729599595
97,13.5807103825
98,0.96961477325
99,0.90875248
100,NA
101,9.6443265765
102,3.69814037325
103,1.2012506135
104,NA
105,2.2668762845
106,1.43798193775
107,2.466287976
108,30.0497291366667
109,3.092562655
110,0.789477191
111,278.49140605
112,NA
113,3.79325345775
114,2.4240487465
115,0.170411271
116,1.546349582
117,6.264390151
118,4.76516789325
119,1.331168403
120,2.76017220733333
121,15.93926743475
122,3.2152664355
123,2.6375629335
124,2.3422768535
125,5.36293831125
126,13.2370341955
127,2.7184370135
128,53.7104225775
129,6.189895271
130,3.8088155555
131,1.9387727645
132,1.544955609
133,6.20561488
134,1.56084848
135,3.299824963
136,4.1474093155
137,1.95067272875
138,4.8265972265
139,3.8884846755
140,1.19661030475
141,4.89891057775
142,7.50491616
