"key","chla","tp","secchi"
1,74.23073919,148.2526739718,0.075
2,109.311660275,144.297056693877,0.075
3,28.1398325325,34.9451921123497,0.52
4,8.79548344875,18.6480800188617,1.85
5,4.95833952025,18.0289788216451,2.45
6,59.071696265,56.438810865059,0.575
7,1.590153422,14.0219416206341,7.45
8,4.21551712,23.1707192976988,0.45
9,2.128613031,12.6815119736879,1.115
10,3.6948720175,23.4145453565329,4.05
11,1.8636399645,16.7050498956709,0.56
12,27.7733041775,28.9457057308379,1.65
13,1.1764819915,14.8106974649313,5.35
14,4.2127449245,20.4269735540669,4.1
15,4.17251527425,18.4399797338302,1.65
16,24.954603465,57.1647849700856,0.35
17,NA,NA,NA
18,5.028597351,15.681119737303,1.4
19,5.39835468475,13.3094792409856,1.95
20,6.623016699,11.9155208847523,2.15
21,12.5500270733333,30.0887859661683,0.35
22,11.5860133,6.62234969007973,1.25
23,5.82815722225,19.085439844593,1.35
24,1.610905511,11.3851479419044,NA
25,3.60363370675,21.9659990403856,2.25
26,0.8735014935,8.56262106399901,NA
27,1.11934483575,11.0434298340478,NA
28,3.40394112,12.5926368427554,3.8
29,2.26799461325,13.2719636081453,NA
30,1.34767556766667,14.2558160087971,4.05
31,3.36395692425,9.6462540541049,NA
32,1.38023836425,8.19559027711378,5.87
33,6.11468284033333,31.6333406086269,1.55
34,2.64592245,10.5035471473153,NA
35,6.83230039975,12.4252503988359,1.25
36,0.919581369,9.32296598431704,6.15
37,1.67773485033333,7.43157524015627,4.45
38,18.1096543625,29.0349245261015,0.76
39,0.92303086225,39.2890682741622,4.85
40,2.73540096,24.1718097822348,1.95
41,3.52561057775,17.7727595674321,4.4
42,4.18934664875,15.4310120502566,3
43,3.562050773,11.0026164986878,4.85
44,1.60182499575,15.7449298329899,1.33
45,1.00384981325,3.69445852451963,NA
46,1.616946062,11.0502657288305,5.15
47,0.913312427,9.44770410407356,4.55
48,3.677411911,13.8138623972547,2.575
49,NA,11.810144971068,4.25
50,3.98830537325,16.356744052898,1.915
51,2.480004569,20.5718087903283,NA
52,1.83953064575,15.9717519825416,3.75
53,0.203084326,10.71291157,NA
54,2.43907514625,12.69926115,3.035
55,1.730377689,15.77226603,4.32
56,4.76426220475,25.54202829,1.925
57,2.3857420445,15.97821703,2.695
58,30.7462318925,54.6840790252055,0.95
59,1.71348462225,14.39925936,3.105
60,0.99509219575,10.96674266,5.065
61,3.20525588875,20.0046135,2.835
62,2.9301004445,22.77460008,2.765
63,2.2010287645,16.0107949025413,NA
64,4.93540590225,11.0884743616347,2
65,2.70496193775,12.77361243,1.895
66,2.847604,13.02625268,3.755
67,1.16931523525,14.26195869,NA
68,4.432323289,28.95313013,2.275
69,2.79779111125,20.5777894,4.635
70,2.05476394675,11.2540145486227,NA
71,3.20325621325,31.6429402194886,4
72,0.5118008535,9.335962012,2.745
73,5.580366649,13.3334202915868,2.14
74,3.0252056535,12.6512495328775,3.225
75,3.802255218,19.78284771,1.205
76,1.707908729,7.84960517991367,NA
77,3.596960486,11.6162200899152,5.35
78,7.22540219266667,20.4925731667683,3.65
79,4.28583007975,11.1865275049979,3.9
80,NA,64.5543634708664,0.65
81,4.2497442845,23.0877822930394,3.6
82,1.027019698,9.94223280554859,NA
83,1.3496339555,11.4332609290691,NA
84,2.5640209955,17.4892180352272,3.2
85,2.37281038225,11.2215256450943,3.15
86,0.876559834333333,18.93459631,3.26
87,2.791734809,NA,4.95
88,1.555716243,9.80869712039302,7
89,3.2018701155,50.57555522,0.825
90,1.60721975125,9.23019740175431,3.95
91,3.826606436,NA,2.25
92,10.87573362425,20.4826379033204,1.05
93,6.113315619,NA,2.05
94,1.51039767125,10.0562337472698,3.45
95,NA,25.9499665705621,3.05
96,1.5729599595,36.261836878145,3.06
97,13.5807103825,46.0341493892293,0.95
98,0.96961477325,11.0437149,6.28
99,0.90875248,20.54180949,NA
100,NA,14.9514702802238,2.95
101,9.6443265765,28.8171621338715,2.9
102,3.69814037325,10.9221133314401,2.95
103,1.2012506135,3.904782109,5.86
104,NA,NA,3.2
105,2.2668762845,11.156157444234,2.65
106,1.43798193775,9.67513966736161,2.24
107,2.466287976,NA,2.75
108,30.0497291366667,62.7555565779097,0.95
109,3.092562655,13.18539474,2.465
110,0.789477191,12.6173556,9.8
111,278.49140605,303.96387419339,0.25
112,NA,10.3234524171123,3.65
113,3.79325345775,81.22834789,0.825
114,2.4240487465,10.0767164935504,4.2
115,0.170411271,8.197519339,2.44
116,1.546349582,29.5690759528184,NA
117,6.264390151,88.9120181598648,0.35
118,4.76516789325,248.6140126,0.68
119,1.331168403,10.8644858944638,4.45
120,2.76017220733333,17.8162033521663,2.75
121,15.93926743475,23.8459319759851,1.1
122,3.2152664355,16.56842134,2.255
123,2.6375629335,38.53366819,0.565
124,2.3422768535,30.3096908792547,3.875
125,5.36293831125,12.2848059142317,2.6
126,13.2370341955,28.157430614034,0.95
127,2.7184370135,37.4216265846612,NA
128,53.7104225775,105.824323384953,0.85
129,6.189895271,21.2571478471606,1.45
130,3.8088155555,13.4960452335186,3.5
131,1.9387727645,10.8319658296231,NA
132,1.544955609,9.12490154270522,NA
133,6.20561488,18.2311862058632,2.75
134,1.56084848,24.0792275026392,5.4
135,3.299824963,6.52516334661831,2.35
136,4.1474093155,25.5418257577539,4.45
137,1.95067272875,23.2316180809145,1.05
138,4.8265972265,17.1714780208426,3.6
139,3.8884846755,13.4735849601012,2.15
140,1.19661030475,39.9737158889859,7.1
141,4.89891057775,37.7395937071903,0.565
142,7.50491616,42.2641980980612,0.9
143,2.704182258,22.2808172128289,1.84
144,3.61250945775,13.6311417498079,3.85
145,1.58333319125,13.9404818003246,4.64
146,1.7623839465,12.4095766219835,NA
147,1.8121102045,12.0862607841781,NA
148,3.40163358225,12.8917415618912,3.9
149,1.5923192,8.53296230712062,4.35
150,14.272739025,49.6771504403457,0.475
151,7.68757392,33.7855423361993,0.95
152,6.71781738666667,53.0695987288183,0.65
153,3.8757474505,13.3735553102639,2.175
154,4.36064392,16.6140250565924,2.15
155,4.0398269765,16.51630399,3.33
156,3.1773062575,17.8459880644874,2.15
157,6.94064835575,36.5014215188322,0.85
158,0.9127453865,11.0468136703702,NA
159,0.308679774666667,9.153647188,1.85
160,0.30071233775,8.977419539,4.6
161,1.769700338,40.806095454162,5.8
162,11.72854080275,50.7563214919771,NA
163,2.63262495975,18.1728107339969,1.85
164,90.07956775,126.586603087885,0.35
165,5.9832551265,43.706826215865,NA
166,4.04885461325,10.6745305118935,3.25
167,2.79672397325,16.514641272597,1.385
168,4.185689766,66.3118646982948,2.675
169,2.7834576,21.8279576087092,4.6
170,3.78775631975,14.4713713465177,2.45
171,0.907726032666667,10.6752565140144,6.835
172,4.6707728185,35.4017809621769,0.645
173,NA,14.3370819430862,1.7
174,6.12665456,48.004527887535,2.05
175,1.31144538675,13.2913660111743,4.95
176,79.28107563,194.566215434235,0.85
177,35.85591184,33.2114808474672,0.95
178,8.07279999425,18.089264206255,0.91
179,4.457910409,14.509205620228,2.1
180,2.814613298,NA,NA
181,3.93783290675,14.7476868575369,1.9
182,7.04521655225,15.6791993057814,1.45
183,5.1255690665,14.7594500023473,NA
184,6.40979653325,53.5425513215008,1.5
185,8.7735551685,15.8710382280153,NA
186,2.5806384175,11.0301900655511,2.9
187,1.31178403575,6.356330181,2.75
188,0.254485452,13.27672965,1.705
189,2.72888787575,8.65034980064533,3.05
190,1.73086597325,11.7121351782369,3.75
191,1.7071054225,NA,3.8
192,1.67635137775,14.2553382650708,6.225
193,0.147335893,7.831939823,NA
194,NA,NA,3.675
195,1.758989582,13.1574442394915,5.15
196,3.2060835375,11.6088087450191,NA
197,0.7413575465,11.26837897,3.05
198,0.501357866666667,9.726387046,2.72
199,1.874875757,5.731261842,3.905
200,5.190995754,31.3055325276535,1.95
201,0.23178547525,8.58090733,3.95
202,2.543969831,34.6970233249918,1.825
203,3.4267408535,40.65433938,NA
204,5.26171117033333,35.9967604058683,2.5
205,3.92565729775,16.2004079131951,1.85
206,3.40772138633333,17.59862454602,3.05
207,5.30372153175,33.23426876,1.53
208,1.0434874845,9.33914295476991,6
209,11.88014167075,50.2826696894542,1.25
210,1.9890936265,14.539148930536,5.15
211,3.25367202,28.3794002264743,2.15
212,2.41882384925,25.2571767200735,1.4
213,2.7195159645,12.8937809205769,3.15
214,1.661382552,7.68182080173499,NA
215,4.187196622,44.5699447,1.835
216,2.9405355555,10.07639022,3.09
217,4.34696014233333,21.5973857768479,2.45
218,2.00473841775,21.2741911809982,3.55
219,2.49974858675,17.9794339749165,3.35
220,7.86060414125,41.3621837824379,1.35
221,1.14989411575,8.31090835393913,3.15
222,7.954815147,38.935131075515,1.15
223,2.98741324325,23.7877180090042,2.25
224,2.64840268966667,11.2386247835684,1.7
225,1.052093498,6.41010483650397,5.75
226,6.2652752255,32.8168559767714,1.25
227,10.24191585675,48.9225101023633,1.15
228,3.6457049245,17.8162963508172,3.4
229,2.810408876,12.6281331313283,3.85
230,5.38055680425,26.0590124543877,2.3
231,2.10312773325,11.15,3.55
232,1.061320367,8.53261212095545,6.2
233,3.50844974225,15.1028916971403,3.25
234,1.4976550225,6.7095731278169,5.85
235,3.79278419125,18.1900696901156,2.75
236,2.88202017775,9.03,3.85
237,2.0118500445,8.85,4.7
238,2.12415546675,6.96,3.8
239,1.648895222,8.49,5.7
240,2.277079067,15.16,3.7
241,4.85187776,17.5307837228099,NA
242,0.93982942225,4.26,NA
243,7.37682812425,20.7046465154421,1.7
244,12.65719025,28.4613945679079,1.15
245,2.216769375,9.035194491,NA
246,21.200479665,57.9012074113796,0.55
247,1.57837946675,11.0524340122326,3.85
248,3.93021724475,8.71048608078871,3.6
249,4.3534594445,14.66,2.65
250,1.74757002675,6.90243849217536,3.9
251,1.1783327465,5.81637189524574,4.7
252,3.50298410675,42.9558953341518,0.35
253,16.63617917,36.54,1.65
254,1.6987179555,8.76,5.25
255,2.96096277775,8.04,5.05
256,0.8775731555,4.31215126053498,5.4
257,9.7520795985,27.3254925945927,1.35
258,4.66939864475,77.9909703031395,0.15
259,39.3078165925,275,1.25
260,5.96997019475,88.33,0.65
261,1.56461693325,10.83,4.55
262,1.52691271125,8.04,7
263,1.38689320875,12.1603530158812,1.3
264,1.0074312225,8.74,5.85
265,0.2988930845,5.066400945,10.31
266,0.9919577245,3.294077872,NA
267,2.73297528875,19.08093565,NA
268,1.53815900425,32.3717071699519,1.05
269,1.6751700445,30.0996510247667,2.5
270,13.4700014466667,61.92754899,0.55
271,2.3002627335,15.67,3.45
272,2.29303888,22.7729149,2.515
273,9.50387589,29.61,1.885
274,3.69691178675,49.73951567,2.15
275,1.18933686675,2.37,8
